id,arm,cat_id,volume_tertile,sales_sum
FOODS_1_029_TX_1_evaluation,treatment,FOODS,low,361
FOODS_1_126_WI_1_evaluation,control,FOODS,low,285
FOODS_1_159_TX_1_evaluation,treatment,FOODS,low,248
FOODS_1_164_CA_1_evaluation,treatment,FOODS,low,195
FOODS_1_211_TX_1_evaluation,treatment,FOODS,low,322
FOODS_2_006_CA_1_evaluation,control,FOODS,low,321
FOODS_2_029_WI_1_evaluation,control,FOODS,low,239
FOODS_2_053_TX_1_evaluation,treatment,FOODS,low,300
FOODS_2_062_TX_1_evaluation,treatment,FOODS,low,414
FOODS_2_132_TX_1_evaluation,treatment,FOODS,low,339
FOODS_2_148_TX_1_evaluation,control,FOODS,low,319
FOODS_2_158_CA_1_evaluation,control,FOODS,low,308
FOODS_2_159_WI_1_evaluation,treatment,FOODS,low,391
FOODS_2_165_CA_1_evaluation,control,FOODS,low,338
FOODS_2_308_TX_1_evaluation,control,FOODS,low,412
FOODS_2_319_TX_1_evaluation,control,FOODS,low,410
FOODS_2_365_WI_1_evaluation,control,FOODS,low,281
FOODS_2_387_TX_1_evaluation,control,FOODS,low,165
FOODS_2_393_CA_1_evaluation,control,FOODS,low,318
FOODS_3_003_CA_1_evaluation,treatment,FOODS,low,320
FOODS_3_033_TX_1_evaluation,treatment,FOODS,low,312
FOODS_3_033_WI_1_evaluation,control,FOODS,low,290
FOODS_3_036_TX_1_evaluation,control,FOODS,low,204
FOODS_3_110_WI_1_evaluation,control,FOODS,low,390
FOODS_3_137_TX_1_evaluation,treatment,FOODS,low,235
FOODS_3_164_CA_1_evaluation,treatment,FOODS,low,320
FOODS_3_280_WI_1_evaluation,treatment,FOODS,low,388
FOODS_3_296_WI_1_evaluation,treatment,FOODS,low,75
FOODS_3_337_WI_1_evaluation,control,FOODS,low,214
FOODS_3_350_CA_1_evaluation,treatment,FOODS,low,16
FOODS_3_375_TX_1_evaluation,treatment,FOODS,low,303
FOODS_3_409_TX_1_evaluation,control,FOODS,low,234
FOODS_3_427_TX_1_evaluation,control,FOODS,low,255
FOODS_3_443_TX_1_evaluation,treatment,FOODS,low,169
FOODS_3_527_TX_1_evaluation,control,FOODS,low,195
FOODS_3_536_TX_1_evaluation,control,FOODS,low,371
FOODS_3_563_TX_1_evaluation,control,FOODS,low,209
FOODS_3_595_CA_1_evaluation,treatment,FOODS,low,10
FOODS_3_690_TX_1_evaluation,treatment,FOODS,low,60
FOODS_3_722_TX_1_evaluation,control,FOODS,low,263
FOODS_3_763_TX_1_evaluation,treatment,FOODS,low,382
FOODS_3_790_TX_1_evaluation,control,FOODS,low,174
FOODS_3_790_WI_1_evaluation,control,FOODS,low,304
HOBBIES_1_002_TX_1_evaluation,control,HOBBIES,low,216
HOBBIES_1_003_CA_1_evaluation,control,HOBBIES,low,257
HOBBIES_1_007_TX_1_evaluation,control,HOBBIES,low,177
HOBBIES_1_020_TX_1_evaluation,treatment,HOBBIES,low,240
HOBBIES_1_038_TX_1_evaluation,treatment,HOBBIES,low,385
HOBBIES_1_039_CA_1_evaluation,treatment,HOBBIES,low,187
HOBBIES_1_041_TX_1_evaluation,control,HOBBIES,low,370
HOBBIES_1_046_CA_1_evaluation,treatment,HOBBIES,low,272
HOBBIES_1_046_TX_1_evaluation,treatment,HOBBIES,low,126
HOBBIES_1_051_CA_1_evaluation,control,HOBBIES,low,252
HOBBIES_1_053_WI_1_evaluation,control,HOBBIES,low,72
HOBBIES_1_054_CA_1_evaluation,treatment,HOBBIES,low,183
HOBBIES_1_066_TX_1_evaluation,control,HOBBIES,low,98
HOBBIES_1_070_CA_1_evaluation,treatment,HOBBIES,low,163
HOBBIES_1_091_WI_1_evaluation,control,HOBBIES,low,192
HOBBIES_1_094_WI_1_evaluation,treatment,HOBBIES,low,179
HOBBIES_1_111_TX_1_evaluation,treatment,HOBBIES,low,269
HOBBIES_1_113_CA_1_evaluation,treatment,HOBBIES,low,179
HOBBIES_1_113_TX_1_evaluation,treatment,HOBBIES,low,216
HOBBIES_1_117_TX_1_evaluation,treatment,HOBBIES,low,100
HOBBIES_1_123_TX_1_evaluation,control,HOBBIES,low,246
HOBBIES_1_135_WI_1_evaluation,treatment,HOBBIES,low,198
HOBBIES_1_138_TX_1_evaluation,control,HOBBIES,low,170
HOBBIES_1_160_TX_1_evaluation,treatment,HOBBIES,low,263
HOBBIES_1_163_TX_1_evaluation,treatment,HOBBIES,low,281
HOBBIES_1_163_WI_1_evaluation,treatment,HOBBIES,low,407
HOBBIES_1_168_CA_1_evaluation,control,HOBBIES,low,321
HOBBIES_1_174_TX_1_evaluation,treatment,HOBBIES,low,143
HOBBIES_1_180_WI_1_evaluation,control,HOBBIES,low,89
HOBBIES_1_181_WI_1_evaluation,treatment,HOBBIES,low,84
HOBBIES_1_184_TX_1_evaluation,control,HOBBIES,low,156
HOBBIES_1_186_CA_1_evaluation,control,HOBBIES,low,243
HOBBIES_1_188_CA_1_evaluation,treatment,HOBBIES,low,206
HOBBIES_1_190_TX_1_evaluation,control,HOBBIES,low,73
HOBBIES_1_210_CA_1_evaluation,treatment,HOBBIES,low,336
HOBBIES_1_212_CA_1_evaluation,control,HOBBIES,low,119
HOBBIES_1_214_CA_1_evaluation,treatment,HOBBIES,low,225
HOBBIES_1_214_TX_1_evaluation,treatment,HOBBIES,low,110
HOBBIES_1_214_WI_1_evaluation,control,HOBBIES,low,210
HOBBIES_1_218_CA_1_evaluation,treatment,HOBBIES,low,312
HOBBIES_1_218_TX_1_evaluation,control,HOBBIES,low,142
HOBBIES_1_219_TX_1_evaluation,treatment,HOBBIES,low,122
HOBBIES_1_219_WI_1_evaluation,control,HOBBIES,low,178
HOBBIES_1_221_TX_1_evaluation,control,HOBBIES,low,249
HOBBIES_1_223_TX_1_evaluation,control,HOBBIES,low,222
HOBBIES_1_230_WI_1_evaluation,treatment,HOBBIES,low,134
HOBBIES_1_243_CA_1_evaluation,treatment,HOBBIES,low,270
HOBBIES_1_247_WI_1_evaluation,control,HOBBIES,low,283
HOBBIES_1_253_TX_1_evaluation,control,HOBBIES,low,192
HOBBIES_1_259_WI_1_evaluation,treatment,HOBBIES,low,323
HOBBIES_1_262_TX_1_evaluation,control,HOBBIES,low,235
HOBBIES_1_271_CA_1_evaluation,treatment,HOBBIES,low,341
HOBBIES_1_271_WI_1_evaluation,treatment,HOBBIES,low,123
HOBBIES_1_272_WI_1_evaluation,treatment,HOBBIES,low,266
HOBBIES_1_283_WI_1_evaluation,control,HOBBIES,low,214
HOBBIES_1_284_TX_1_evaluation,treatment,HOBBIES,low,167
HOBBIES_1_285_TX_1_evaluation,control,HOBBIES,low,130
HOBBIES_1_289_TX_1_evaluation,treatment,HOBBIES,low,180
HOBBIES_1_292_WI_1_evaluation,treatment,HOBBIES,low,295
HOBBIES_1_293_TX_1_evaluation,control,HOBBIES,low,240
HOBBIES_1_294_TX_1_evaluation,control,HOBBIES,low,165
HOBBIES_1_299_WI_1_evaluation,treatment,HOBBIES,low,244
HOBBIES_1_302_CA_1_evaluation,control,HOBBIES,low,79
HOBBIES_1_314_CA_1_evaluation,control,HOBBIES,low,227
HOBBIES_1_318_CA_1_evaluation,treatment,HOBBIES,low,260
HOBBIES_1_325_CA_1_evaluation,control,HOBBIES,low,220
HOBBIES_1_325_WI_1_evaluation,control,HOBBIES,low,249
HOBBIES_1_335_TX_1_evaluation,control,HOBBIES,low,335
HOBBIES_1_335_WI_1_evaluation,control,HOBBIES,low,363
HOBBIES_1_352_TX_1_evaluation,treatment,HOBBIES,low,242
HOBBIES_1_355_TX_1_evaluation,control,HOBBIES,low,401
HOBBIES_1_359_WI_1_evaluation,control,HOBBIES,low,108
HOBBIES_1_375_WI_1_evaluation,treatment,HOBBIES,low,90
HOBBIES_1_377_WI_1_evaluation,control,HOBBIES,low,397
HOBBIES_1_385_TX_1_evaluation,control,HOBBIES,low,163
HOBBIES_1_386_WI_1_evaluation,treatment,HOBBIES,low,354
HOBBIES_1_392_WI_1_evaluation,control,HOBBIES,low,303
HOBBIES_1_401_TX_1_evaluation,control,HOBBIES,low,124
HOBBIES_1_402_TX_1_evaluation,control,HOBBIES,low,151
HOBBIES_1_403_TX_1_evaluation,control,HOBBIES,low,128
HOBBIES_1_406_CA_1_evaluation,control,HOBBIES,low,319
HOBBIES_1_422_TX_1_evaluation,treatment,HOBBIES,low,144
HOBBIES_2_001_TX_1_evaluation,control,HOBBIES,low,78
HOBBIES_2_003_WI_1_evaluation,treatment,HOBBIES,low,412
HOBBIES_2_005_CA_1_evaluation,treatment,HOBBIES,low,207
HOBBIES_2_005_TX_1_evaluation,control,HOBBIES,low,78
HOBBIES_2_005_WI_1_evaluation,control,HOBBIES,low,228
HOBBIES_2_010_WI_1_evaluation,control,HOBBIES,low,98
HOBBIES_2_012_CA_1_evaluation,treatment,HOBBIES,low,116
HOBBIES_2_012_WI_1_evaluation,treatment,HOBBIES,low,35
HOBBIES_2_014_TX_1_evaluation,control,HOBBIES,low,108
HOBBIES_2_020_TX_1_evaluation,treatment,HOBBIES,low,281
HOBBIES_2_020_WI_1_evaluation,treatment,HOBBIES,low,176
HOBBIES_2_023_CA_1_evaluation,control,HOBBIES,low,67
HOBBIES_2_025_CA_1_evaluation,control,HOBBIES,low,110
HOBBIES_2_028_TX_1_evaluation,treatment,HOBBIES,low,308
HOBBIES_2_030_CA_1_evaluation,control,HOBBIES,low,147
HOBBIES_2_031_WI_1_evaluation,control,HOBBIES,low,72
HOBBIES_2_037_CA_1_evaluation,control,HOBBIES,low,135
HOBBIES_2_039_WI_1_evaluation,control,HOBBIES,low,183
HOBBIES_2_040_WI_1_evaluation,treatment,HOBBIES,low,109
HOBBIES_2_041_TX_1_evaluation,treatment,HOBBIES,low,132
HOBBIES_2_046_CA_1_evaluation,treatment,HOBBIES,low,266
HOBBIES_2_049_TX_1_evaluation,treatment,HOBBIES,low,116
HOBBIES_2_050_WI_1_evaluation,control,HOBBIES,low,182
HOBBIES_2_054_TX_1_evaluation,treatment,HOBBIES,low,131
HOBBIES_2_055_TX_1_evaluation,treatment,HOBBIES,low,126
HOBBIES_2_065_WI_1_evaluation,treatment,HOBBIES,low,166
HOBBIES_2_071_CA_1_evaluation,control,HOBBIES,low,171
HOBBIES_2_071_WI_1_evaluation,treatment,HOBBIES,low,204
HOBBIES_2_073_CA_1_evaluation,treatment,HOBBIES,low,149
HOBBIES_2_074_CA_1_evaluation,control,HOBBIES,low,242
HOBBIES_2_074_TX_1_evaluation,control,HOBBIES,low,150
HOBBIES_2_077_CA_1_evaluation,treatment,HOBBIES,low,131
HOBBIES_2_079_TX_1_evaluation,control,HOBBIES,low,69
HOBBIES_2_080_TX_1_evaluation,treatment,HOBBIES,low,129
HOBBIES_2_080_WI_1_evaluation,treatment,HOBBIES,low,163
HOBBIES_2_082_WI_1_evaluation,control,HOBBIES,low,59
HOBBIES_2_084_TX_1_evaluation,control,HOBBIES,low,38
HOBBIES_2_087_TX_1_evaluation,control,HOBBIES,low,165
HOBBIES_2_092_WI_1_evaluation,control,HOBBIES,low,201
HOBBIES_2_093_TX_1_evaluation,treatment,HOBBIES,low,164
HOBBIES_2_095_CA_1_evaluation,control,HOBBIES,low,160
HOBBIES_2_095_TX_1_evaluation,treatment,HOBBIES,low,119
HOBBIES_2_096_WI_1_evaluation,control,HOBBIES,low,266
HOBBIES_2_099_CA_1_evaluation,treatment,HOBBIES,low,91
HOBBIES_2_101_CA_1_evaluation,control,HOBBIES,low,214
HOBBIES_2_106_TX_1_evaluation,control,HOBBIES,low,74
HOBBIES_2_107_TX_1_evaluation,treatment,HOBBIES,low,396
HOBBIES_2_108_CA_1_evaluation,treatment,HOBBIES,low,98
HOBBIES_2_111_TX_1_evaluation,treatment,HOBBIES,low,110
HOBBIES_2_114_CA_1_evaluation,treatment,HOBBIES,low,151
HOBBIES_2_116_WI_1_evaluation,control,HOBBIES,low,259
HOBBIES_2_121_CA_1_evaluation,control,HOBBIES,low,302
HOBBIES_2_121_WI_1_evaluation,control,HOBBIES,low,328
HOBBIES_2_127_TX_1_evaluation,treatment,HOBBIES,low,153
HOBBIES_2_128_CA_1_evaluation,treatment,HOBBIES,low,212
HOBBIES_2_130_CA_1_evaluation,control,HOBBIES,low,312
HOBBIES_2_130_WI_1_evaluation,control,HOBBIES,low,164
HOBBIES_2_135_CA_1_evaluation,control,HOBBIES,low,158
HOBBIES_2_137_CA_1_evaluation,control,HOBBIES,low,291
HOBBIES_2_139_CA_1_evaluation,treatment,HOBBIES,low,181
HOBBIES_2_139_TX_1_evaluation,control,HOBBIES,low,302
HOBBIES_2_148_TX_1_evaluation,control,HOBBIES,low,390
HOBBIES_2_149_WI_1_evaluation,control,HOBBIES,low,357
HOUSEHOLD_1_054_CA_1_evaluation,treatment,HOUSEHOLD,low,167
HOUSEHOLD_1_060_TX_1_evaluation,control,HOUSEHOLD,low,102
HOUSEHOLD_1_063_WI_1_evaluation,control,HOUSEHOLD,low,232
HOUSEHOLD_1_064_TX_1_evaluation,treatment,HOUSEHOLD,low,150
HOUSEHOLD_1_195_TX_1_evaluation,treatment,HOUSEHOLD,low,342
HOUSEHOLD_1_209_TX_1_evaluation,treatment,HOUSEHOLD,low,189
HOUSEHOLD_1_216_WI_1_evaluation,control,HOUSEHOLD,low,224
HOUSEHOLD_1_242_WI_1_evaluation,control,HOUSEHOLD,low,152
HOUSEHOLD_1_263_TX_1_evaluation,treatment,HOUSEHOLD,low,386
HOUSEHOLD_1_264_WI_1_evaluation,treatment,HOUSEHOLD,low,200
HOUSEHOLD_1_297_TX_1_evaluation,treatment,HOUSEHOLD,low,221
HOUSEHOLD_1_300_WI_1_evaluation,control,HOUSEHOLD,low,78
HOUSEHOLD_1_314_CA_1_evaluation,control,HOUSEHOLD,low,70
HOUSEHOLD_1_314_TX_1_evaluation,treatment,HOUSEHOLD,low,373
HOUSEHOLD_1_315_WI_1_evaluation,treatment,HOUSEHOLD,low,230
HOUSEHOLD_1_335_CA_1_evaluation,treatment,HOUSEHOLD,low,236
HOUSEHOLD_1_337_TX_1_evaluation,treatment,HOUSEHOLD,low,255
HOUSEHOLD_1_367_TX_1_evaluation,control,HOUSEHOLD,low,305
HOUSEHOLD_1_368_TX_1_evaluation,control,HOUSEHOLD,low,373
HOUSEHOLD_1_371_WI_1_evaluation,treatment,HOUSEHOLD,low,377
HOUSEHOLD_1_401_CA_1_evaluation,control,HOUSEHOLD,low,413
HOUSEHOLD_1_402_TX_1_evaluation,treatment,HOUSEHOLD,low,58
HOUSEHOLD_1_402_WI_1_evaluation,control,HOUSEHOLD,low,245
HOUSEHOLD_1_449_WI_1_evaluation,treatment,HOUSEHOLD,low,113
HOUSEHOLD_1_451_TX_1_evaluation,control,HOUSEHOLD,low,355
HOUSEHOLD_1_454_WI_1_evaluation,control,HOUSEHOLD,low,286
HOUSEHOLD_1_476_WI_1_evaluation,treatment,HOUSEHOLD,low,173
HOUSEHOLD_1_512_CA_1_evaluation,control,HOUSEHOLD,low,145
HOUSEHOLD_1_526_TX_1_evaluation,treatment,HOUSEHOLD,low,177
HOUSEHOLD_2_005_WI_1_evaluation,treatment,HOUSEHOLD,low,32
HOUSEHOLD_2_019_CA_1_evaluation,treatment,HOUSEHOLD,low,414
HOUSEHOLD_2_035_WI_1_evaluation,control,HOUSEHOLD,low,403
HOUSEHOLD_2_042_TX_1_evaluation,treatment,HOUSEHOLD,low,73
HOUSEHOLD_2_046_WI_1_evaluation,treatment,HOUSEHOLD,low,247
HOUSEHOLD_2_060_WI_1_evaluation,treatment,HOUSEHOLD,low,87
HOUSEHOLD_2_077_CA_1_evaluation,control,HOUSEHOLD,low,150
HOUSEHOLD_2_081_CA_1_evaluation,control,HOUSEHOLD,low,361
HOUSEHOLD_2_083_CA_1_evaluation,treatment,HOUSEHOLD,low,389
HOUSEHOLD_2_086_CA_1_evaluation,control,HOUSEHOLD,low,103
HOUSEHOLD_2_103_TX_1_evaluation,treatment,HOUSEHOLD,low,308
HOUSEHOLD_2_105_CA_1_evaluation,control,HOUSEHOLD,low,309
HOUSEHOLD_2_107_TX_1_evaluation,control,HOUSEHOLD,low,202
HOUSEHOLD_2_107_WI_1_evaluation,treatment,HOUSEHOLD,low,408
HOUSEHOLD_2_119_WI_1_evaluation,treatment,HOUSEHOLD,low,392
HOUSEHOLD_2_120_TX_1_evaluation,control,HOUSEHOLD,low,34
HOUSEHOLD_2_127_WI_1_evaluation,treatment,HOUSEHOLD,low,226
HOUSEHOLD_2_132_CA_1_evaluation,treatment,HOUSEHOLD,low,137
HOUSEHOLD_2_134_CA_1_evaluation,treatment,HOUSEHOLD,low,174
HOUSEHOLD_2_143_TX_1_evaluation,treatment,HOUSEHOLD,low,315
HOUSEHOLD_2_144_WI_1_evaluation,control,HOUSEHOLD,low,281
HOUSEHOLD_2_146_CA_1_evaluation,treatment,HOUSEHOLD,low,288
HOUSEHOLD_2_148_WI_1_evaluation,treatment,HOUSEHOLD,low,319
HOUSEHOLD_2_149_TX_1_evaluation,control,HOUSEHOLD,low,70
HOUSEHOLD_2_150_CA_1_evaluation,control,HOUSEHOLD,low,306
HOUSEHOLD_2_151_WI_1_evaluation,control,HOUSEHOLD,low,80
HOUSEHOLD_2_157_TX_1_evaluation,control,HOUSEHOLD,low,74
HOUSEHOLD_2_161_CA_1_evaluation,control,HOUSEHOLD,low,108
HOUSEHOLD_2_161_WI_1_evaluation,treatment,HOUSEHOLD,low,66
HOUSEHOLD_2_169_WI_1_evaluation,control,HOUSEHOLD,low,192
HOUSEHOLD_2_171_WI_1_evaluation,treatment,HOUSEHOLD,low,221
HOUSEHOLD_2_180_CA_1_evaluation,control,HOUSEHOLD,low,197
HOUSEHOLD_2_187_WI_1_evaluation,control,HOUSEHOLD,low,390
HOUSEHOLD_2_188_TX_1_evaluation,treatment,HOUSEHOLD,low,347
HOUSEHOLD_2_195_TX_1_evaluation,treatment,HOUSEHOLD,low,348
HOUSEHOLD_2_206_WI_1_evaluation,control,HOUSEHOLD,low,365
HOUSEHOLD_2_208_TX_1_evaluation,control,HOUSEHOLD,low,152
HOUSEHOLD_2_216_WI_1_evaluation,treatment,HOUSEHOLD,low,43
HOUSEHOLD_2_224_WI_1_evaluation,control,HOUSEHOLD,low,301
HOUSEHOLD_2_242_CA_1_evaluation,treatment,HOUSEHOLD,low,258
HOUSEHOLD_2_243_WI_1_evaluation,treatment,HOUSEHOLD,low,101
HOUSEHOLD_2_248_TX_1_evaluation,control,HOUSEHOLD,low,319
HOUSEHOLD_2_252_TX_1_evaluation,treatment,HOUSEHOLD,low,208
HOUSEHOLD_2_261_TX_1_evaluation,treatment,HOUSEHOLD,low,349
HOUSEHOLD_2_263_CA_1_evaluation,control,HOUSEHOLD,low,94
HOUSEHOLD_2_265_TX_1_evaluation,control,HOUSEHOLD,low,374
HOUSEHOLD_2_265_WI_1_evaluation,treatment,HOUSEHOLD,low,258
HOUSEHOLD_2_271_WI_1_evaluation,control,HOUSEHOLD,low,324
HOUSEHOLD_2_272_TX_1_evaluation,control,HOUSEHOLD,low,228
HOUSEHOLD_2_277_WI_1_evaluation,treatment,HOUSEHOLD,low,162
HOUSEHOLD_2_280_CA_1_evaluation,treatment,HOUSEHOLD,low,263
HOUSEHOLD_2_286_TX_1_evaluation,treatment,HOUSEHOLD,low,84
HOUSEHOLD_2_302_WI_1_evaluation,control,HOUSEHOLD,low,163
HOUSEHOLD_2_303_TX_1_evaluation,treatment,HOUSEHOLD,low,189
HOUSEHOLD_2_318_CA_1_evaluation,control,HOUSEHOLD,low,74
HOUSEHOLD_2_332_WI_1_evaluation,treatment,HOUSEHOLD,low,295
HOUSEHOLD_2_338_TX_1_evaluation,control,HOUSEHOLD,low,21
HOUSEHOLD_2_339_CA_1_evaluation,treatment,HOUSEHOLD,low,264
HOUSEHOLD_2_346_WI_1_evaluation,control,HOUSEHOLD,low,277
HOUSEHOLD_2_357_TX_1_evaluation,treatment,HOUSEHOLD,low,145
HOUSEHOLD_2_378_CA_1_evaluation,control,HOUSEHOLD,low,392
HOUSEHOLD_2_381_CA_1_evaluation,control,HOUSEHOLD,low,112
HOUSEHOLD_2_392_CA_1_evaluation,treatment,HOUSEHOLD,low,99
HOUSEHOLD_2_392_WI_1_evaluation,control,HOUSEHOLD,low,90
HOUSEHOLD_2_393_WI_1_evaluation,treatment,HOUSEHOLD,low,144
HOUSEHOLD_2_396_CA_1_evaluation,treatment,HOUSEHOLD,low,79
HOUSEHOLD_2_414_TX_1_evaluation,control,HOUSEHOLD,low,100
HOUSEHOLD_2_417_TX_1_evaluation,treatment,HOUSEHOLD,low,256
HOUSEHOLD_2_422_WI_1_evaluation,treatment,HOUSEHOLD,low,175
HOUSEHOLD_2_424_TX_1_evaluation,treatment,HOUSEHOLD,low,401
HOUSEHOLD_2_445_WI_1_evaluation,treatment,HOUSEHOLD,low,302
HOUSEHOLD_2_459_TX_1_evaluation,treatment,HOUSEHOLD,low,102
HOUSEHOLD_2_461_TX_1_evaluation,control,HOUSEHOLD,low,204
HOUSEHOLD_2_476_WI_1_evaluation,control,HOUSEHOLD,low,91
HOUSEHOLD_2_479_TX_1_evaluation,treatment,HOUSEHOLD,low,414
HOUSEHOLD_2_486_TX_1_evaluation,treatment,HOUSEHOLD,low,324
HOUSEHOLD_2_489_WI_1_evaluation,control,HOUSEHOLD,low,133
HOUSEHOLD_2_497_CA_1_evaluation,control,HOUSEHOLD,low,339
HOUSEHOLD_2_499_TX_1_evaluation,control,HOUSEHOLD,low,231
HOUSEHOLD_2_501_TX_1_evaluation,control,HOUSEHOLD,low,191
HOUSEHOLD_2_502_TX_1_evaluation,treatment,HOUSEHOLD,low,88
HOUSEHOLD_2_504_WI_1_evaluation,treatment,HOUSEHOLD,low,238
